Facility Name,City,State,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison
SAGEWEST HEALTH CARE,RIVERTON,WY,(307) 856-4161,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
MEMORIAL HOSPITAL SWEETWATER COUNTY,ROCK SPRINGS,WY,(307) 362-3711,Acute Care Hospitals,Government - Local,Yes,4,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average
WYOMING MEDICAL CENTER,CASPER,WY,(307) 577-7201,Acute Care Hospitals,Government - Local,Yes,2,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average
CHEYENNE REGIONAL MEDICAL CENTER,CHEYENNE,WY,(307) 633-7600,Acute Care Hospitals,Voluntary non-profit - Other,Yes,5,Above the national average,Above the national average,Above the national average,Below the national average,Same as the national average
ST JOHNS MEDICAL CENTER,JACKSON,WY,(307) 733-3636,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
IVINSON MEMORIAL HOSPITAL,LARAMIE,WY,(307) 755-4600,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Same as the national average,Same as the national average,Above the national average,Below the national average
EVANSTON REGIONAL HOSPITAL,EVANSTON,WY,(307) 789-3636,Acute Care Hospitals,Proprietary,Yes,4,Not Available,Not Available,Same as the national average,Same as the national average,Same as the national average
SUMMIT MEDICAL CENTER,CASPER,WY,(307) 232-6600,Acute Care Hospitals,Physician,No,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available
SOUTH BIG HORN COUNTY HOSPITAL,BASIN,WY,(307) 568-1500,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
MEMORIAL HOSPITAL OF CONVERSE COUNTY,DOUGLAS,WY,(307) 358-2122,Critical Access Hospitals,Government - Local,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available
WESTON COUNTY HEALTH SERVICES,NEWCASTLE,WY,(307) 746-4491,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
HOT SPRINGS COUNTY MEMORIAL HOSPITAL,THERMOPOLIS,WY,(307) 864-3121,Critical Access Hospitals,Government - Local,Yes,3,Same as the national average,Not Available,Same as the national average,Not Available,Not Available
PLATTE COUNTY MEMORIAL HOSPITAL,WHEATLAND,WY,(307) 322-3636,Critical Access Hospitals,Government - Local,Yes,3,Same as the national average,Not Available,Same as the national average,Not Available,Not Available
WASHAKIE MEDICAL CENTER,WORLAND,WY,(307) 347-3221,Critical Access Hospitals,Government - Local,Yes,3,Same as the national average,Not Available,Same as the national average,Not Available,Not Available
COMMUNITY HOSPITAL,TORRINGTON,WY,(307) 532-4181,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Same as the national average,Not Available,Not Available
JOHNSON COUNTY HEALTHCARE CENTER,BUFFALO,WY,(307) 684-5521,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
NORTH BIG HORN HOSPITAL DISTRICT,LOVELL,WY,(307) 548-5200,Critical Access Hospitals,Government - Hospital District or Authority,Yes,4,Same as the national average,Not Available,Above the national average,Not Available,Same as the national average
POWELL VALLEY HOSPITAL,POWELL,WY,(307) 754-2267,Critical Access Hospitals,Government - Hospital District or Authority,Yes,4,Same as the national average,Not Available,Above the national average,Not Available,Same as the national average
CROOK COUNTY HOSPITAL,SUNDANCE,WY,(307) 283-3501,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
CODY REGIONAL HEALTH,CODY,WY,(307) 578-2488,Critical Access Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average
STAR VALLEY MEDICAL CENTER,AFTON,WY,(307) 885-5800,Critical Access Hospitals,Government - Hospital District or Authority,Yes,4,Not Available,Not Available,Below the national average,Above the national average,Not Available
NIOBRARA COUNTY HOSPITAL DISTRICT,LUSK,WY,(307) 334-4000,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
SOUTH LINCOLN MEDICAL CENTER - CAH,KEMMERER,WY,(307) 877-4401,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
MEMORIAL HOSPITAL OF CARBON COUNTY,RAWLINS,WY,(307) 324-2221,Critical Access Hospitals,Government - Local,Yes,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available
WYOMING STATE HOSPITAL,EVANSTON,WY,(307) 789-3464,Psychiatric,Government - State,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
WYOMING BEHAVIORAL INSTITUTE,CASPER,WY,(307) 237-7444,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
LBJ TROPICAL MEDICAL CENTER,PAGO PAGO,AS,(684) 633-4590,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
GUAM MEMORIAL  HOSPITAL AUTHORITY,TAMUNING,GU,(671) 647-2552,Acute Care Hospitals,Government - Local,Yes,Not Available,Same as the national average,Not Available,Below the national average,Not Available,Not Available
GUAM REGIONAL MEDICAL CITY,DEDEDO,GU,(671) 645-5500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
COMMONWEALTH HEALTH CENTER,GARAPAN,MP,(670) 234-8950,Acute Care Hospitals,Proprietary,Yes,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available
ST MARKS MEDICAL CENTER,LA GRANGE,TX,(979) 242-2200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average
MEMORIAL HERMANN SURGICAL HOSPITAL KINGWOOD,KINGWOOD,TX,(281) 312-4000,Acute Care Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average
THE HOSPITAL AT WESTLAKE MEDICAL CENTER,AUSTIN,TX,(512) 327-0000,Acute Care Hospitals,Proprietary,Yes,3,Not Available,Not Available,Same as the national average,Same as the national average,Same as the national average
HOUSTON PHYSICIANS' HOSPITAL,WEBSTER,TX,(281) 335-1700,Acute Care Hospitals,Physician,Yes,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available
MAYHILL HOSPITAL,DENTON,TX,(940) 239-3000,Acute Care Hospitals,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
METHODIST MANSFIELD MEDICAL CENTER,MANSFIELD,TX,(682) 622-2059,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average
BAYLOR SCOTT & WHITE THE HEART HOSPITAL - PLANO,PLANO,TX,(469) 814-3278,Acute Care Hospitals,Proprietary,Yes,5,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average
CHI ST LUKE'S PATIENTS MEDICAL CENTER,PASADENA,TX,(281) 487-0700,Acute Care Hospitals,Physician,Yes,5,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average
BAYLOR SCOTT & WHITE MEDICAL CENTER - ROUND ROCK,ROUND ROCK,TX,(512) 509-0100,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average
SETON MEDICAL CENTER WILLIAMSON,ROUND ROCK,TX,(512) 324-0000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average
CEDAR PARK REGIONAL MEDICAL CENTER,CEDAR PARK,TX,(512) 528-7000,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average
TEXAS HEALTH PRESBYTERIAN HOSPITAL ROCKWALL,ROCKWALL,TX,(469) 698-1000,Acute Care Hospitals,Proprietary,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average
THE HOSPITALS OF PROVIDENCE - EAST CAMPUS,EL PASO,TX,(915) 856-7349,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average
NORTH CENTRAL SURGICAL CENTER LLP,DALLAS,TX,(214) 265-2810,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average
ST LUKE'S SUGAR LAND HOSPITAL,SUGAR LAND,TX,(281) 637-7000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average
FOUNDATION SURGICAL HOSPITAL OF SAN ANTONIO,SAN ANTONIO,TX,(210) 478-5400,Acute Care Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available
METHODIST HOSPITAL  STONE OAK,SAN ANTONIO,TX,(210) 638-2100,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average
ASCENSION  SETON HAYS,KYLE,TX,(512) 324-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
CHI ST LUKES LAKESIDE HOSPITAL,THE WOODLANDS,TX,(936) 266-4055,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available
BAYLOR SCOTT AND WHITE MEDICAL CENTER SUNNYVALE,SUNNYVALE,TX,(972) 892-3000,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average
SOUTH TEXAS SURGICAL HOSPITAL,CORPUS CHRISTI,TX,(361) 993-2000,Acute Care Hospitals,Proprietary,Yes,5,Not Available,Above the national average,Not Available,Above the national average,Same as the national average
BAYLOR EMERGENCY MEDICAL CENTER AT AUBREY,AUBREY,TX,(972) 347-2525,Acute Care Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average
BAYLOR SCOTT AND WHITE ORTHOPEDIC AND SPINE HOSPI,ARLINGTON,TX,(817) 549-2364,Acute Care Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available
TEXAS HEALTH PRESBYTERIAN HOSPITAL FLOWER MOUND,FLOWER MOUND,TX,(972) 419-1530,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average
METHODIST MCKINNEY HOSPITAL,MCKINNEY,TX,(214) 491-5710,Acute Care Hospitals,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average
TEXAS HEALTH HEART & VASCULAR HOSPITAL ARLINGTON,ARLINGTON,TX,(817) 960-3500,Acute Care Hospitals,Proprietary,No,5,Same as the national average,Same as the national average,Above the national average,Above the national average,Not Available
METHODIST HOSPITAL FOR SURGERY,ADDISON,TX,(469) 248-3900,Acute Care Hospitals,Proprietary,Yes,Not Available,Not Available,Above the national average,Not Available,Above the national average,Not Available
ST LUKE'S HOSPITAL AT THE VINTAGE,HOUSTON,TX,(832) 534-5000,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
BAYLOR SCOTT AND WHITE SURGICAL HOSPITAL AT SHERMA,SHERMAN,TX,(903) 813-3728,Acute Care Hospitals,Physician,Yes,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average
HOUSTON METHODIST WEST HOSPITAL,HOUSTON,TX,(832) 522-1000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average
